GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
junit5-trainer,com.dmdev.exception,ValidationException,3,6,0,0,1,3,1,1,1,1
junit5-trainer,com.dmdev.dao,UserDao,15,258,0,12,4,60,0,16,0,10
junit5-trainer,com.dmdev.validator,Error,95,15,20,0,2,1,15,2,5,2
junit5-trainer,com.dmdev.validator,CreateUserValidator,0,42,0,6,0,10,0,6,0,3
junit5-trainer,com.dmdev.validator,ValidationResult,0,21,0,0,0,5,0,4,0,4
junit5-trainer,com.dmdev.dto,CreateUserDto,136,128,37,15,0,8,27,10,2,9
junit5-trainer,com.dmdev.dto,CreateUserDto.CreateUserDtoBuilder,14,49,0,0,0,1,1,8,1,8
junit5-trainer,com.dmdev.dto,UserDto,162,144,43,17,0,9,31,11,2,10
junit5-trainer,com.dmdev.dto,UserDto.UserDtoBuilder,19,56,0,0,0,1,1,9,1,9
junit5-trainer,com.dmdev.mapper,CreateUserMapper,0,37,0,0,0,10,0,3,0,3
junit5-trainer,com.dmdev.mapper,UserMapper,0,28,0,0,0,10,0,3,0,3
junit5-trainer,com.dmdev.entity,Gender,0,27,0,0,0,6,0,3,0,3
junit5-trainer,com.dmdev.entity,User,266,101,62,0,0,19,35,18,4,18
junit5-trainer,com.dmdev.entity,User.UserBuilder,19,56,0,0,0,1,1,9,1,9
junit5-trainer,com.dmdev.entity,Role,0,27,0,0,0,6,0,3,0,3
junit5-trainer,com.dmdev.service,UserService,0,67,0,2,0,16,0,6,0,5
junit5-trainer,com.dmdev.util,LocalDateFormatter,7,17,0,0,1,7,1,3,1,3
junit5-trainer,com.dmdev.util,PropertiesUtil,10,20,0,0,1,8,1,3,1,3
junit5-trainer,com.dmdev.util,ConnectionManager,13,16,0,0,2,9,1,3,1,3
